id;codigo;codigo_solicitud;codigo_responsable;estado;fecha_incio;fecha_fina;descripcion;comentario
1;mobile Fish;Home Loan Account Table Computer;Trace;REGISTRADO;2019-07-13;2019-07-13;../data/blob/hipster.txt;../data/blob/hipster.txt
2;transmitter Implementation Electronics;Soap methodology Albania;Home Namibia;FINALIZADO;2019-07-12;2019-07-13;../data/blob/hipster.txt;../data/blob/hipster.txt
3;Licensed Savings Account;Cambridgeshire Mississippi;HDD;PLANIFICADO;2019-07-12;2019-07-12;../data/blob/hipster.txt;../data/blob/hipster.txt
4;Music;Nakfa;Bahamian Dollar Investment Account;PLANIFICADO;2019-07-12;2019-07-12;../data/blob/hipster.txt;../data/blob/hipster.txt
5;convergence;Mayotte;Industrial;MONITOREADO;2019-07-12;2019-07-12;../data/blob/hipster.txt;../data/blob/hipster.txt
6;archive Georgia Aruba;software scale interactive;Louisiana Specialist Home Loan Account;MONITOREADO;2019-07-12;2019-07-13;../data/blob/hipster.txt;../data/blob/hipster.txt
7;Industrial;index orange;Jewelery;PLANIFICADO;2019-07-12;2019-07-12;../data/blob/hipster.txt;../data/blob/hipster.txt
8;Checking Account Identity deposit;IB Investment Account archive;envisioneer;MONITOREADO;2019-07-12;2019-07-12;../data/blob/hipster.txt;../data/blob/hipster.txt
9;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;MONITOREADO;2019-07-12;2019-07-12;../data/blob/hipster.txt;../data/blob/hipster.txt
10;Montana;Corporate Phased relationships;white Brand Money Market Account;REGISTRADO;2019-07-12;2019-07-13;../data/blob/hipster.txt;../data/blob/hipster.txt
