id;nombre;descripcion
1;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders
2;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York
3;multi-byte Jamaican Dollar North Carolina;Station
4;parsing Investment Account;Branding Dynamic black
5;yellow;Books Generic
6;robust withdrawal generate;Garden open-source hybrid
7;Solomon Islands Dollar;Personal Loan Account HTTP
8;schemas Specialist China;quantify multi-byte
9;interface Cotton Robust;user-centric Infrastructure
10;Managed Dobra application;Fantastic
